class_num,image_urls,images,name,no,original_price,price
5954,,,,QAAI0D-A900AA42H-000,,
5954,,,,QAAI0D-A900A9O4S-000,,
5954,,,,QAAI0D-A900A9O5M-000,,
5954,,,,QAAI0D-A900AA51C-000,,
5954,,,,QAAI0D-A900A8IFL-000,,
5954,,,,QAAI0D-A900A8L03-000,,
5954,,,,QAAI0D-A900A9TLR-000,,
5954,,,,QAAI0D-A900A9R05-000,,
5954,,,,QAAI0D-A900ABYMF-000,,
5954,,,,QAAI0D-A900A8K1V-000,,
5954,,,,QAAI0D-A9009OPZE-000,,
5954,,,,QAAI0D-A900A8H5N-000,,
5954,,,,QAAI0D-A900A8KNV-000,,
5954,,,,QAAI0D-A900A9TJ8-000,,
5954,,,,QAAI0D-A900A8HB5-000,,
5954,,,,QAAI0D-A900A9RPW-000,,
5954,,,,QAAI0D-A900ABYRM-000,,
5954,,,,QAAI0D-A900A9R0V-000,,
5954,,,,QAAI0D-A900AA34B-000,,
5954,,,,QAAI0D-A900A8LCY-000,,
5954,,,,QAAI0D-A900A8HED-000,,
5954,,,,QAAI0D-A900A8HJQ-000,,
5954,,,,QAAI0D-A900A9V43-000,,
5954,,,,QAAI0D-A900AAODQ-000,,
5954,,,,QAAI0D-A900A8KT0-000,,
5954,,,,QAAI0D-A900A8GUO-000,,
5954,,,,QAAI0D-A900A9OBM-000,,
5954,,,,QAAI0D-A900AA3AI-000,,
5954,,,,QAAI0D-A900A1XHY-000,,
5954,,,,QAAI0D-A900AA2YC-000,,
5955,,,,QAAI06-A900AAOCZ-000,,
5955,,,,QAAI06-A900A8XDW-000,,
5955,,,,QAAI06-A900A8XW0-000,,
5955,,,,QAAI06-A900ABXCV-000,,
5956,,,,AIAA1D-A56260751-000,,
5956,,,,QAAD3S-A9005YEVF-000,,
5956,,,,AIAAAQ-A9005KP27-000,,
5956,,,,AABC2M-A90056FIS-000,,
5957,,,,QAAI0C-A9008XZJ0-000,,
5957,,,,QAAI0C-A900A8WN9-000,,
5957,,,,QAAC27-A9006UW7N-000,,
5957,,,,QAAI0C-A9008XYIW-000,,
5957,,,,QAAI0C-A9009669D-000,,
5957,,,,QAAI0C-A9008SQYO-000,,
5957,,,,QAAI0C-A900A49N4-000,,
5957,,,,QAAI0C-A9009EIBN-000,,
5958,,,,QAAI12-A9007BIOJ-000,,
5958,,,,AABC2Y-A9005F6A3-000,,
5958,,,,QAAC1J-A9006MWSW-000,,
5958,,,,QAAI0E-A90083M3D-000,,
5958,,,,QAAI0E-A900AI0E2-000,,
5958,,,,ABAM2G-A90056VH6-000,,
5958,,,,QAAI0E-A900AI0AI-000,,
5958,,,,QAAI0E-A9006MWRK-000,,
5959,,,,QAAI26-A900A6G0L-000,,
5959,,,,QAAI26-A9009YUR2-000,,
5959,,,,QAAI26-A9008IF0C-000,,
5959,,,,QAAI0A-A9005VL05-000,,
5959,,,,QAAI0A-A9005VKYM-000,,
5959,,,,QAAI0A-A9005VL0K-000,,
5960,,,,QAAI1A-A9007PMZ1-000,,
5960,,,,QAAI0A-A90077XAP-000,,
5960,,,,AABC26-A9005SMRH-000,,
5960,,,,QAAT11-A900A63LT-000,,
5960,,,,QAAI0A-A9007957C-000,,
5960,,,,QAAI0A-A9009LH4Z-000,,
5960,,,,QAAT11-A900A63NF-000,,
5960,,,,QAAJDP-A9009G3G3-000,,
5960,,,,AABC1N-A53976444-000,,
5960,,,,QAAI0A-A9008BJKH-000,,
5960,,,,QAAJDP-A9009G3M8-000,,
5960,,,,QAAI0A-A9005VLA8-000,,
5960,,,,QAAI0A-A900AJQ2N-000,,
5960,,,,QAAI0A-A900AEAGO-000,,
5960,,,,AABC26-A58282429-000,,
5960,,,,QAAJ3M-A9007Y64R-000,,
5960,,,,QAAI0A-A9006T0Y2-000,,
5960,,,,QAAJDP-A9009G3KH-000,,
5960,,,,AABC26-A72799110-000,,
5960,,,,QAAI0A-A9008IEZL-000,,
5960,,,,QAAI0A-A9005VLCA-000,,
5960,,,,QAAJDP-A9009FWZB-000,,
5960,,,,AABC26-A64423009-000,,
5960,,,,AABC26-A59234845-000,,
5960,,,,QAAI0A-A9008DXB2-000,,
5960,,,,QAAJ73-A9007DEF9-000,,
5960,,,,AABC26-A59281889-000,,
5960,,,,QAAI0A-A9006XWCI-000,,
5960,,,,QAAI0A-A9007DEED-000,,
5960,,,,QAAI0A-A9007RSEY-000,,
5961,,,,QAAJDP-A9009G3L8-000,,
5961,,,,AABC1N-A53976444-000,,
5961,,,,QAAI07-A90098BY1-000,,
5961,,,,AABC1N-A53976693-000,,
5961,,,,QAAI07-A90098P54-000,,
5961,,,,QAAI07-A900A6FHU-000,,
5961,,,,AABC1N-A69504761-000,,
5962,,,,QAAI08-A9005VL3E-000,,
5962,,,,QAAJGM-A9008M0FT-000,,
5962,,,,AABC22-A90054Z5G-000,,
5962,,,,AABC22-A90054ZBG-000,,
5962,,,,AABC22-A90054ZGC-000,,
5962,,,,AABC22-A90054Z8S-000,,
5962,,,,QAAI08-A9006I2PN-000,,
5962,,,,AABC22-A90054Z2Z-000,,
5962,,,,AABC22-A90054ZEX-000,,
5962,,,,QAAI08-A90080O7T-000,,
5962,,,,AABC22-A90054ZAI-000,,
5962,,,,AABC22-A90054ZDN-000,,
5962,,,,QAAI08-A9008BJJ4-000,,
5962,,,,AABC22-A54273548-000,,
5962,,,,AABC22-A90054Z1A-000,,
5962,,,,AABC22-A90054ZCY-000,,
5962,,,,AABC22-A90054ZB1-000,,
5963,,,,AABC24-A9005A2NT-000,,
5963,,,,QAAI09-A9007BIQ2-000,,
5963,,,,QAAI09-A900A6F11-000,,
5963,,,,QAAI09-A9009ICMA-000,,
5963,,,,QAAI09-A900AJRQY-000,,
5963,,,,QAAI09-A900A7XPP-000,,
5963,,,,QAAI09-A900A6FLA-000,,
5963,,,,QAAI09-A9009IHJA-000,,
5963,,,,QAAI09-A9008IALR-000,,
5963,,,,QAAI09-A900AJT3U-000,,
5963,,,,QAAJDP-A9009G3G3-000,,
5963,,,,QAAI09-A900AJRSE-000,,
5963,,,,QAAI09-A900AJRT7-000,,
5963,,,,QAAI09-A900AJRRL-000,,
5963,,,,QAAJDP-A9009G3M8-000,,
5963,,,,QAAI09-A9009ZUU9-000,,
5963,,,,QAAI09-A9008H1O9-000,,
5963,,,,QAAI09-A900AJTJ0-000,,
5963,,,,QAAI09-A9008IAD5-000,,
5963,,,,QAAI09-A900820UZ-000,,
5963,,,,AABC24-A57135726-000,,
5963,,,,QAAI09-A9008SY0U-000,,
5963,,,,ABAO2I-A90054ZDS-000,,
5963,,,,QAAI09-A9009ZUV9-000,,
5963,,,,AFAE1W-A76282195-000,,
5963,,,,QAAI09-A900AJRZ3-000,,
